river name,river,Status
Chehalis River (Washington),http://dbpedia.org/resource/Chehalis_River_(Washington),True
Nure,http://dbpedia.org/resource/Nure,True
Cowlitz River,http://dbpedia.org/resource/Cowlitz_River,True
Pisuerga,http://dbpedia.org/resource/Pisuerga,True
Scheppau,http://dbpedia.org/resource/Scheppau,True
Schunter,http://dbpedia.org/resource/Schunter,True
Tar River,http://dbpedia.org/resource/Tar_River,True
Moskva (river),http://dbpedia.org/resource/Moskva_(river),True
Rio Negro (Amazon),http://dbpedia.org/resource/Rio_Negro_(Amazon),True
Maggia (river),http://dbpedia.org/resource/Maggia_(river),True
River Soar,http://dbpedia.org/resource/River_Soar,True
Ganaraska River,http://dbpedia.org/resource/Ganaraska_River,True
Porter Brook,http://dbpedia.org/resource/Porter_Brook,True
Tanger (river),http://dbpedia.org/resource/Tanger_(river),True
Murrumbidgee River,http://dbpedia.org/resource/Murrumbidgee_River,True
Darling River,http://dbpedia.org/resource/Darling_River,True
Don River (Ontario),http://dbpedia.org/resource/Don_River_(Ontario),True
Papaloapan River,http://dbpedia.org/resource/Papaloapan_River,True
"River Wye, Derbyshire","http://dbpedia.org/resource/River_Wye,_Derbyshire",True
River Noe,http://dbpedia.org/resource/River_Noe,True
River Ashop,http://dbpedia.org/resource/River_Ashop,True
River Dearne,http://dbpedia.org/resource/River_Dearne,True
Pearl River,http://dbpedia.org/resource/Pearl_River,True
Clain,http://dbpedia.org/resource/Clain,True
Saline River (Ouachita River tributary),http://dbpedia.org/resource/Saline_River_(Ouachita_River_tributary),True
Geum River,http://dbpedia.org/resource/Geum_River,True
South Saskatchewan River,http://dbpedia.org/resource/South_Saskatchewan_River,True
Humber River (Ontario),http://dbpedia.org/resource/Humber_River_(Ontario),True
Little Missouri River (Arkansas),http://dbpedia.org/resource/Little_Missouri_River_(Arkansas),True
Ouachita River,http://dbpedia.org/resource/Ouachita_River,True
Caddo River,http://dbpedia.org/resource/Caddo_River,True
Cossatot River,http://dbpedia.org/resource/Cossatot_River,True
Spring River (Arkansas),http://dbpedia.org/resource/Spring_River_(Arkansas),True
